code|name|city|country
BEG|Belgrade Nikola Tesla Airport|Belgrade|Serbia
FRA|Frankfurt Airport|Frankfurt|Germany
CDG|Charles de Gaulle Airport|Pariz|France
MIL|Milano Malpensa Airport|Milan|Italy
DXB|Dubai International Airport|Dubai|UAE
DOH|Hamad International Airport|Doha|Qatar
SIN|Singapore Changi Airport|Singapore|Singapore
NRT|Narita International Airport|Tokyo|Japan
SYD|Sydney Kingsford Smith Airport|Sydney|Australia
JFK|John F. Kennedy International Airport|New York|United States
ATL|Hartsfield–Jackson Atlanta International Airport|Atlanta|United States
LHR|London Heathrow Airport|London|United Kingdom
IST|Istanbul Airport|Istanbul|Turkey
